,title,artist
1,Deftones - Change x (Kevin Levrone - Rich Piana - Mike Mentzer)Best parts + Slowed, Svante1337
2,Youngest Daughter, Superheaven
3,"Pastel Ghost - Shadows x Tom Platz (I Can't Do It, Why Do You Even Want Me)", Svante1337
4,Kaleo - Way Down We Go, AminAshkan
5,Need 2, pinegroveband
6,Apocalypse, Cigarettes After Sex
7,Foo Fighters - Everlong x Tom Platz, ğ’‰­ CRG ğ’‰­
8,Everlong, Foo Fighters
9,Bodybuilding - Gym Motivation x Deftones - Change (slowed and reverb), theo3877
10,Alex G - I Wait For You, underground_archive02
11,life imitates life, quannnic
12,Los Botones Azules - David Arenas, DAVID ARENAS
13,Daylight ," David Kushner (full song sped up and reverb)
"
14,Tom Platz x Everlong - Gym Motivation (kill me), Svante1337
15,Your face - wisp, bnja
16,niet kwijt - unreleased, TADP Records
17,Tek It, CafunÃ©
18,tom platz x deftones - beware, silly lifter
19,Freaks (Surf Curse), TELEVISION BLONDE
20,"Sex, Drugs, Etc. [Slowed + Reverb]", Ã˜WZ
21,'Purpose' Kevin Levrone x Tom Platz - Twin Flames (Midrift) | Edit, prodghesti
22,Change (In the House of Flies), Deftones
23,YOUNG, VACATIONS
24,505 - arctic monkeys, sau/d
25,Rammstein - Sonne, bassyt
26,Notion, The Rare Occasions
27,"505, slowed - Arctic Monkeys", tyr.
28,f song, strawberry guy
29,"Sex, Drugs, Etc.", Beach Weather
30,Jealous, EYEDRESS
31,'Want Something Bad Enough' Tom Platz - Miss Reaper (Grimzlee)| Bass Boosted x Edit, prodghesti
32,Christmas Kids, @lewcci
33,Deftones - Sextape (Cover), N:art
34,"now i am become death, the destroyer of worlds x deftones", mirinhorizon42
35,Pixies - Where is my mind?, skylineguy
36,eyedress - jealous (slowed), carloluvsturtles
37,Answering Machine, Ru
38,Smells Like Teen Spirit, Nirvana
39,"sex, drugs, etc. ~ beach weather [sped up + reverb]", ğ—µğ—®ğ—±ğ—¹ğ—²ğ˜†ğ—¿ğ—®ğ—²
40,I Can't Handle Change, @lewcci
41,Where'd All The Time Go, TTW
42,Be Quiet and Drive (Far Away), Deftones
43,life imitates life, quannnic
44,Christmas Kids - Roar, 11kados
45,Playboi Carti - Made It This Far, Wint3rsx
46,Love Me Again - John Newman, kuba kwiatek
47,"beware - Deftones (slowed down with kevin levrone, batman and tom platz)", StrappedSchizoLifter
48,i wanna be yours (5% slower) // arctic monkeys, seafluff
49,Inside Out, Duster
50,Ozzy Osbourne - No More Tears, Higor de Castro
